iter	RMSE
0	32.29114496
1	31.28145004
2	30.30828158
3	29.37240596
4	28.4749624
5	27.63010213
6	26.87688402
7	26.09590441
8	25.36335187
9	24.67307213
10	24.07419689
11	23.43840323
12	22.83763967
13	22.24809694
14	21.71323366
15	21.21281592
16	20.71950227
17	20.25693098
18	19.82292807
19	19.39928466
20	19.03761165
21	18.6453247
22	18.28800426
23	17.95733308
24	17.63299157
25	17.32928902
26	17.03037347
27	16.75644025
28	16.51609167
29	16.27265835
30	16.05092523
31	15.84146694
32	15.64722595
33	15.45344732
34	15.26801162
35	15.10305571
36	14.94385485
37	14.79928663
38	14.65785299
39	14.52502818
40	14.4082656
41	14.28460811
42	14.17494683
43	14.06680979
44	13.96459006
45	13.87249359
46	13.7853399
47	13.70098747
48	13.62844835
49	13.55597337
50	13.49117803
51	13.42455986
52	13.36199055
53	13.3060321
54	13.25268694
55	13.20426023
56	13.15625486
57	13.1113824
58	13.06708557
59	13.02788864
60	12.98626113
61	12.94778247
62	12.91049682
63	12.87523846
64	12.84064747
65	12.81124869
66	12.77679998
67	12.7468876
68	12.71740708
69	12.68944783
70	12.66921688
71	12.64720886
72	12.62534494
73	12.59756371
74	12.56678014
75	12.54506551
76	12.52421612
77	12.49965365
78	12.48039491
79	12.4651611
80	12.44164281
81	12.42426234
82	12.412536
83	12.39786741
84	12.38018458
85	12.36170485
86	12.34988764
87	12.33358507
88	12.32133967
89	12.30519727
90	12.28747947
91	12.27310816
92	12.2640103
93	12.25181238
94	12.23916032
95	12.22896448
96	12.21552276
97	12.19981082
98	12.19030588
99	12.17657786
100	12.16491095
101	12.150065
102	12.138476
103	12.12651435
104	12.11534973
105	12.101468
106	12.09422799
107	12.08055694
108	12.07250542
109	12.06529848
110	12.05624825
111	12.04435984
112	12.03374757
113	12.0274299
114	12.01927792
115	12.00735554
116	11.99550707
117	11.98557534
118	11.97866607
119	11.96879275
120	11.95656104
121	11.94118073
122	11.93317919
123	11.92281632
124	11.91322593
125	11.90444956
126	11.89724059
127	11.88533768
128	11.87574915
129	11.8669759
130	11.85873061
131	11.85193596
132	11.83768228
133	11.8323708
134	11.8249969
135	11.81853616
136	11.8123962
137	11.80464816
138	11.79580154
139	11.78372943
140	11.77732858
141	11.76742546
142	11.75961473
143	11.74906052
144	11.74030999
145	11.73267363
146	11.72423384
147	11.71663752
148	11.70408601
149	11.68943925
150	11.68417514
151	11.67235313
152	11.66791991
153	11.661789
154	11.6569778
155	11.64940425
156	11.64130356
157	11.63252176
158	11.62179238
159	11.61799995
160	11.60771521
161	11.60088607
162	11.58846095
163	11.5815424
164	11.57255918
165	11.56563479
166	11.55963715
167	11.55471141
168	11.54601843
169	11.53936663
170	11.528119
171	11.52012203
172	11.50896142
173	11.49764103
174	11.49227965
175	11.48768104
176	11.48236252
177	11.47575953
178	11.47162244
179	11.46404061
180	11.45941419
181	11.45105503
182	11.44578404
183	11.43982051
184	11.43453331
185	11.42974132
186	11.42095916
187	11.41565424
188	11.41066034
189	11.40224681
190	11.39892738
191	11.39379086
192	11.38502397
193	11.37504744
194	11.36938949
195	11.36344646
196	11.35855821
197	11.35278126
198	11.34745853
199	11.3443678
200	11.34195187
201	11.33732693
202	11.33539516
203	11.33211492
204	11.32494927
205	11.32154326
206	11.3153598
207	11.31019527
208	11.30607978
209	11.29812546
210	11.28592918
211	11.27549
212	11.27160795
213	11.26574393
214	11.26318865
215	11.25387554
216	11.24226298
217	11.23370421
218	11.2271066
219	11.22231133
220	11.21682103
221	11.21496134
222	11.20952803
223	11.20290551
224	11.19184487
225	11.18274766
226	11.17979791
227	11.17657819
228	11.16964636
229	11.16532247
230	11.16161265
231	11.15925756
232	11.14923014
233	11.14338407
234	11.13875502
235	11.1352913
236	11.1293896
237	11.11995328
238	11.11449278
239	11.11134199
240	11.10500122
241	11.09570013
242	11.08671971
243	11.08342925
244	11.07730167
245	11.07530705
246	11.06821706
247	11.06343941
248	11.05605721
249	11.0512036
250	11.04818797
251	11.04525345
252	11.04074127
253	11.03401406
254	11.02533687
255	11.01746868
256	11.00845478
257	11.00297275
258	10.99916926
259	10.99658346
260	10.99433979
261	10.9893078
262	10.98266118
263	10.97495729
264	10.96922171
265	10.96345893
266	10.95864831
267	10.95438082
268	10.94695756
269	10.93708637
270	10.93140471
271	10.92284888
272	10.91761165
273	10.91255625
274	10.90807137
275	10.90012403
276	10.89547176
277	10.8879875
278	10.88538545
279	10.87942283
280	10.87665807
281	10.87246994
282	10.86776673
283	10.86264748
284	10.85792279
285	10.85358736
286	10.85162208
287	10.84917157
288	10.84360256
289	10.83696104
290	10.83337049
291	10.82837759
292	10.82328548
293	10.81874279
294	10.81200767
295	10.80610951
296	10.80128187
297	10.79248354
298	10.78751206
299	10.78206407
